height,weight
178,72
163,70
156,42
168,55
156,45
165,51
157,45
180,78
169,60
165,56
163,180
156,50
160,47
179,89
167,55
167,52
175,65
190,90
163,60
174,85
157,47
176,60
173,64
165,49
172,70
181,95
181,62
172,56
159,52
155,44
170,65
160,50
173,65
164,45
164,53
170,40
171,60
158,43
186,97
158,52
158,44
160,100
160,30
162,50
180,70
162,51
176,65
175,68
178,72
187,70
